RunTime	DBNAME	ObjectName	ObjectID	Improvement_Measure	CREATE_INDEX_Statement	user_seeks	user_scans	last_user_seek	last_user_scan	avg_total_user_cost	avg_user_impact	avg_system_impact	index_group_handle	index_handle
2017-03-18 13:21:02.023	QPulse5	Incident	405576483	139.1	CREATE INDEX missing_index_45171_45170 ON [QPulse5].[dbo].[Incident] ([StatusID]) INCLUDE ([ID], [IncidentSourceTypeID])	3	0	2017-03-07 09:05:05.857	NULL	0.673768043495714	68.82	0	45171	45170
2017-03-18 13:21:02.023	QPulse5	Revision	2073058421	139.0	CREATE INDEX missing_index_29076_29075 ON [QPulse5].[dbo].[Revision] ([StatusID]) INCLUDE ([DocumentID], [RevisionReference], [Title])	3	0	2017-03-01 13:17:10.983	NULL	0.759510864299385	61.02	0	29076	29075
2017-03-18 13:21:02.023	QPulse5	Person	2137058649	124.2	CREATE INDEX missing_index_32508_32507 ON [QPulse5].[dbo].[Person] ([CustomerID], [SupplierID], [IsDeleted],[ID])	8	0	2017-03-16 11:10:33.637	NULL	0.68774527217112	22.57	0	32508	32507
2017-03-18 13:21:02.023	QPulse5	TrainingEvent	519672899	119.3	CREATE INDEX missing_index_55710_55709 ON [QPulse5].[dbo].[TrainingEvent] ([Title]) INCLUDE ([ID])	6	0	2017-03-13 15:15:43.197	NULL	0.995094163274765	19.98	0	55710	55709
2017-03-18 13:21:02.023	QPulse5	OccurrenceIncident	116195464	116.4	CREATE INDEX missing_index_74302_74301 ON [QPulse5].[dbo].[OccurrenceIncident] ([StatusID],[ClosedDate], [PriorityID]) INCLUDE ([ID], [NumberSort])	3	0	2017-03-17 09:33:53.637	NULL	0.455679785379409	85.18	0	74302	74301
2017-03-18 13:21:02.023	QPulse5	TrainingEvent	519672899	108.2	CREATE INDEX missing_index_13014_13013 ON [QPulse5].[dbo].[TrainingEvent] ([ScheduledDate]) INCLUDE ([ID], [Title], [Description])	6	0	2017-03-07 18:35:31.047	NULL	0.260349934814815	69.29	0	13014	13013
2017-03-18 13:21:02.023	QPulse5	Revision	2073058421	105.4	CREATE INDEX missing_index_65841_65840 ON [QPulse5].[dbo].[Revision] ([OwnerPersonID], [StatusID],[ImplementByDate])	2	0	2017-03-14 10:24:00.220	NULL	0.531662745185185	99.13	0	65841	65840
2017-03-18 13:21:02.023	QPulse5	TrainingEvent	519672899	103.5	CREATE INDEX missing_index_8828_8827 ON [QPulse5].[dbo].[TrainingEvent] ([Title], [EventCategoryID],[UserDefinedField6ID]) INCLUDE ([ID], [UserDefinedField3])	5	0	2017-02-23 10:21:37.697	NULL	1.30627505673333	15.84	0	8828	8827
2017-03-18 13:21:02.023	QPulse5	Revision	2073058421	103.5	CREATE INDEX missing_index_46676_46675 ON [QPulse5].[dbo].[Revision] ([OwnerPersonID], [StatusID],[ReviewDate]) INCLUDE ([ID], [Title])	2	0	2017-03-08 08:47:17.603	NULL	0.550520210285787	93.96	0	46676	46675
2017-03-18 13:21:02.023	QPulse5	Revision	2073058421	103.5	CREATE INDEX missing_index_23919_23918 ON [QPulse5].[dbo].[Revision] ([Title], [StatusID])	2	0	2017-02-28 08:56:05.330	NULL	0.536033823446447	96.55	0	23919	23918
