"(PDH-CSV 4.0) (GMT Standard Time)(0)","\\SQL01\LogicalDisk(E:\Data_X\tLog_01)\Avg. Disk sec/Read","\\SQL01\LogicalDisk(E:\Data_X\data_01)\Avg. Disk sec/Read","\\SQL01\LogicalDisk(E:\Data_X\backup_01)\Avg. Disk sec/Read","\\SQL01\LogicalDisk(E:)\Avg. Disk sec/Read","\\SQL01\LogicalDisk(C:)\Avg. Disk sec/Read","\\SQL01\LogicalDisk(E:\Data_X\tLog_01)\Avg. Disk sec/Write","\\SQL01\LogicalDisk(E:\Data_X\data_01)\Avg. Disk sec/Write","\\SQL01\LogicalDisk(E:\Data_X\backup_01)\Avg. Disk sec/Write","\\SQL01\LogicalDisk(E:)\Avg. Disk sec/Write","\\SQL01\LogicalDisk(C:)\Avg. Disk sec/Write","\\SQL01\LogicalDisk(E:\Data_X\tLog_01)\Avg. Disk sec/Transfer","\\SQL01\LogicalDisk(E:\Data_X\data_01)\Avg. Disk sec/Transfer","\\SQL01\LogicalDisk(E:\Data_X\backup_01)\Avg. Disk sec/Transfer","\\SQL01\LogicalDisk(E:)\Avg. Disk sec/Transfer","\\SQL01\LogicalDisk(C:)\Avg. Disk sec/Transfer"
"03/18/2017 09:53:13.475","0","0","0","0","0","0.00075401822319256021","0","0","0","0","0.00075401822319256021","0","0","0","0"
"03/18/2017 09:53:15.475","0","0","0","0","0","0.00075771806361989266","0","0","0","0","0.00075771806361989266","0","0","0","0"
"03/18/2017 09:53:17.474","0","0","0","0","0","0.00079319477444448629","0","0","0","0.00069999585608412993","0.00079319477444448629","0","0","0","0.00069999585608412993"
"03/18/2017 09:53:17.476","0","0","0","0","0","0.00059979690156151131","0","0","0","0","0.00059979690156151131","0","0","0","0"
"03/18/2017 09:53:19.475","0","0","0","0","0","0.0007838257123459429","0","0","0","0.00076249216031646478","0.0007838257123459429","0","0","0","0.00076249216031646478"
"03/18/2017 09:53:21.475","0","0","0","0","0","0.00093514582208748258","0","0","0","0.00070008897778907656","0.00093514582208748258","0","0","0","0.00070008897778907656"
"03/18/2017 09:53:23.475","0","0","0","0","0","0.001024315969315368","0","0","0","0.00076667099682594666","0.001024315969315368","0","0","0","0.00076667099682594666"
"03/18/2017 09:53:25.475","0","0","0","0","0","0.001144189995506353","0","0","0","0","0.001144189995506353","0","0","0","0"
"03/18/2017 09:53:27.475","0","0","0","0","0","0.0010287405880765449","0","0","0","0.00099167631640334182","0.0010287405880765449","0","0","0","0.00099167631640334182"
"03/18/2017 09:53:29.475","0","0","0","0","0","0.0011812959054438069","0","0","0","0.0015332488719469468","0.0011812959054438069","0","0","0","0.0015333419936518933"
"03/18/2017 09:53:31.475","0","0","0","0","0","0.00088214814504885349","0","0","0","0.0010518613916531809","0.00088214814504885349","0","0","0","0.0010518510447970757"
"03/18/2017 09:53:33.474","0","0","0","0","0","0.00088616504867879359","0","0","0","0.00075998485841077563","0.00088616504867879359","0","0","0","0.00075998485841077563"
"03/18/2017 09:53:33.476","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"03/18/2017 09:53:35.475","0","0","0","0","0","0.00096218510284116544","0.0015058812636519891","0","0","0.00079982232378696171","0.00096218510284116544","0.0015058812636519891","0","0","0.00079982232378696171"
"03/18/2017 09:53:37.475","0","0","0","0","0","0.00095932687441840849","0","0","0","0.00070000915918483656","0.00095932687441840849","0","0","0","0.00070000915918483656"
"03/18/2017 09:53:39.475","0","0","0","0","0","0.0010064759358003484","0","0","0","0","0.0010064759358003484","0","0","0","0"
"03/18/2017 09:53:41.475","0","0","0","0","0","0.00097499987318294126","0","0","0","0","0.00097499987318294126","0","0","0","0"
